Unnamed: 0,광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세 이상계,인구수계,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x,20-30여성비
185,전라남도,구례군,3887,2084,1805,8741,25985,0.2065,1,0,구례,20,4,-3.5631592487779806
186,전라남도,나주시,27023,14174,12851,25388,114376,0.5062,0,0,나주,22,1,-2.4442141879140014
187,전라남도,담양군,8667,4869,3799,14070,46034,0.27,1,0,담양,20,2,-6.167070497288568
188,전라남도,목포시,54208,28586,25624,36558,225273,0.7009,0,0,목포,22,0,-2.730224321133412
189,전라남도,무안군,18235,9554,8682,17082,83168,0.5083,0,0,무안,21,1,-2.3882643268439807
190,전라남도,보성군,5685,3126,2560,15374,40544,0.1665,1,1,보성,24,3,-4.969217238346523
191,전라남도,순천시,70234,37007,33228,43095,279602,0.771,0,0,순천,22,4,-2.6895805450351693
192,전라남도,신안군,5774,3549,2225,14081,39201,0.158,1,1,신안,21,0,-11.465188777277453
193,전라남도,여수시,65443,36049,29396,52858,279854,0.5561,0,0,여수,23,4,-5.08152132390019
194,전라남도,영광군,9993,5396,4600,15196,52970,0.3027,1,0,영광,19,1,-3.967777444210946
195,전라남도,영암군,10064,5638,4427,14080,53651,0.3144,1,0,영암,23,1,-6.011526232114467
196,전라남도,완도군,7981,4510,3472,16025,50007,0.2167,1,0,완도,25,2,-6.49667961408345
197,전라남도,장성군,8299,4699,3604,13109,44715,0.2749,1,0,장성,19,2,-6.5730810941077245
198,전라남도,장흥군,6050,3291,2759,12733,37859,0.2167,1,0,장흥,24,2,-4.396694214876034
199,전라남도,진도군,4905,2743,2162,10130,30722,0.2134,1,0,진도,24,0,-5.922528032619779
200,전라남도,함평군,4756,2703,2053,11546,32098,0.1778,1,1,함평,20,1,-6.833473507148863
201,전라남도,해남군,10907,5863,5045,21946,69000,0.2299,1,0,해남,23,0,-3.74530118272669
202,전라남도,화순군,11610,6132,5479,16416,62182,0.3338,1,0,화순,21,4,-2.807924203273038
203,전라북도,고창군,8348,4617,3732,18475,54579,0.202,1,0,고창,18,1,-5.294681360804981
204,전라북도,군산시,61125,32637,28489,48768,266687,0.5842,0,0,군산,16,2,-3.392229038854805
205,전라북도,김제시,14113,7700,6415,25757,82405,0.2491,1,0,김제,17,3,-4.545454545454547
206,전라북도,남원시,14155,7554,6603,22274,80654,0.2964,1,0,남원,18,5,-3.352172377251855
207,전라북도,덕진구,85159,44114,41045,43137,315225,0.9515,0,0,전주 덕진,18,3,-1.8019234608203483
208,전라북도,무주군,3591,1976,1615,7950,24069,0.2031,1,0,무주,16,5,-5.026455026455029
209,전라북도,부안군,8417,4619,3800,17061,52251,0.2227,1,0,부안,17,2,-4.853273137697517
210,전라북도,순창군,4243,2189,2056,9330,27930,0.2204,1,0,순창,20,3,-1.5437190666980904
211,전라북도,완산구,88971,45677,43295,52054,337634,0.8317,0,0,전주 완산,19,3,-1.338076451877579
212,전라북도,완주군,18698,9978,8722,20798,91372,0.4194,1,0,완주,17,4,-3.3532998181623697
213,전라북도,익산시,65967,35263,30705,54379,283174,0.5646,0,0,익산,16,3,-3.4539997271362974
214,전라북도,임실군,4387,2476,1912,9834,27928,0.1944,1,1,임실,19,4,-6.416685662183724
215,전라북도,장수군,3345,1807,1540,7397,22159,0.2082,1,0,장수,17,5,-3.9611360239162954
216,전라북도,정읍시,19791,10703,9088,29484,108474,0.3082,1,0,정읍,18,2,-4.080137436208375
217,전라북도,진안군,3712,1964,1749,8706,25361,0.2009,1,0,진안,18,4,-2.8825431034482762
218,제주특별자치도,서귀포시,39418,20467,18952,34153,180430,0.5549,0,0,서귀포,26,5,-1.9204424374651197
219,제주특별자치도,제주시,125959,65081,60878,67662,486839,0.8997,0,0,제주,25,5,-1.6684000349319994
220,충청남도,계룡시,9618,5057,4561,4911,42707,0.9287,0,0,계룡,14,4,-2.578498648367644
221,충청남도,공주시,21344,11601,9744,26790,104677,0.3637,1,0,공주,12,4,-4.347826086956524
222,충청남도,금산군,8019,4415,3606,15693,51373,0.2298,1,0,금산,15,3,-5.03179947624392
223,충청남도,논산시,22593,12305,10290,30245,116626,0.3402,1,0,논산,14,3,-4.454919665383084
224,충청남도,당진시,39714,22741,16973,30399,165750,0.5583,0,0,당진,12,1,-7.2619227476456665
225,충청남도,동남구,69089,36401,32688,35681,256758,0.9161,0,0,천안 동남,11,2,-2.6871137228791864
226,충청남도,보령시,19330,10888,8443,25346,99853,0.3331,1,0,보령,13,2,-6.321779617175377
227,충청남도,부여군,10100,5680,4421,22164,65431,0.1995,1,1,부여,14,2,-6.227722772277228
228,충청남도,서북구,131984,69582,62402,33268,394727,1.8757,0,0,천안 서북,11,3,-2.720026669899384
229,충청남도,서산시,41640,23634,18008,31571,174315,0.5704,0,0,서산,13,1,-6.75312199807877
230,충청남도,서천군,7565,4317,3248,18551,51821,0.1751,1,1,서천,15,2,-7.0654329147389285
231,충청남도,아산시,85688,46355,39333,40747,313250,0.9653,0,0,아산,11,1,-4.097423209784335
232,충청남도,예산군,13242,7406,5837,23994,78072,0.2433,1,0,예산,12,3,-5.9205558072798645
233,충청남도,청양군,4931,2818,2113,10851,31134,0.1947,1,1,청양,13,3,-7.148651389170552
