제목,저자,출간일,쪽수,가격,역자
재무회계 with IFRS,"Jerry Weygandt , Paul Kimmel , Don Kieso",2022-03-02,784 쪽,"44,000원",윤현철
상법강의,서성호,2022-02-28,748 쪽,"45,000원",-
처음 만나는 WSL,프래틱 싱,2022-02-28,188 쪽,"20,000원",남정현
나도 칼림바 잘 치면 소원이 없겠네,위키위키(wikiwiki),2022-02-25,160 쪽,"14,800원",-
러닝 Go,존 보드너,2022-02-25,452 쪽,"34,000원",윤대석
세상을 구한 의학의 전설들,로날트 D. 게르슈테,2022-02-25,460 쪽,"18,800원",이덕임
파이썬 라이브러리를 활용한 머신러닝(번역개정2판),"안드레아스 뮐러 , 세라 가이도",2022-02-25,504 쪽,"33,000원",박해선
소비자 행동론 제 13판,Michael R. Solomon,2022-02-21,632 쪽,"39,000원","황장선 , 이지은 , 전승우 , 최자영"
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,2022-02-21,432 쪽,"25,000원",-
만화로 배우는 조선 왕실의 신화,"우용곡 , 전인혁(감수)",2022-02-18,368 쪽,"19,800원",-
소문난 명강의 : 레트로의 유니티 게임 프로그래밍 에센스(개정판),이제민(레트로),2022-02-14,1102 쪽,"60,000원",-
STEIN 복소해석학,"ELIAS M. STEIN , RAMI SHAKARCHI",2022-02-10,420 쪽,"36,000원","김영원(감수) , 한빛수학교재연구소"
메타버스를 디자인하라,코넬 힐만,2022-02-10,308 쪽,"19,000원",주원 테일러
운영관리(13판),"Jay Heizer , Barry Render , Chuck Munson",2022-02-10,936 쪽,"42,000원","김민균 , 김상기 , 박상찬 , 최대헌"
저는 기업분석이 처음인데요(2022년 개정판),강병욱,2022-02-10,424 쪽,"19,000원",-
리얼 하와이 [2022~2023 개정판],김화정,2022-02-01,336 쪽,"18,000원",-
쿠브플로 운영 가이드,"조시 패터슨(Josh Patterson) , 마이클 카체넬렌보겐 , 오스틴 해리스",2022-01-31,344 쪽,"25,000원",김소형
"STEM CookBook, 문제 해결력을 키우는 동역학","유봉조 , 박경수",2022-01-29,456 쪽,"32,000원",-
"IT CookBook, 디지털 신호 처리(2판)",이철희,2022-01-28,668 쪽,"33,000원",-
조직행동론(3판),Angelo Kinicki,2022-01-28,784 쪽,"38,000원",김안드레아
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2022,"김덕영 , 심수진 , 윤성우 , 이수정",2022-01-27,556 쪽,"23,000원",-
ISE Business Statistics: Communicating with Numbers [4th Edition],"Sanjiv Jaggia , Alison Kelly",2022-01-26,800 쪽,"50,000원",-
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)","우재남 , 박길식",2022-01-22,580 쪽,"33,000원",-
"IT CookBook, 원리로 이해하는 무선공학",홍익표,2022-01-22,624 쪽,"32,000원",-
1학년 바른 글씨,"김은정 , 김서연(그림)",2022-01-20,128 쪽,"12,000원",-
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",박장환,2022-01-20,380 쪽,"28,000원",-
SQL 쿡북,"앤서니 몰리나로 , 로버트 더그래프",2022-01-20,668 쪽,"40,000원",송희정
일상을 담는 아이패드 드로잉,이이오,2022-01-20,304 쪽,"18,000원",-
혼자 공부하는 R 데이터 분석,"강전희 , 엄동란",2022-01-17,444 쪽,"22,000원",-
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로,2022-01-16,500 쪽,"29,000원",-
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로,2022-01-16,448 쪽,"29,000원",-
"IT CookBook, 데이터베이스 개론(3판)",김연희,2022-01-15,552 쪽,"29,000원",-
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호 , 임석구",2022-01-15,468 쪽,"25,000원",-
"IT CookBook, 디지털 논리회로(4판)","임석구 , 홍경호",2022-01-15,816 쪽,"32,000원",-
리버스 엔지니어링 기드라 실전 가이드,"나카지마 쇼타 , 고타케 다이치 , 하라 히로아키 , 가와바타 고헤이",2022-01-10,920 쪽,"50,000원","이창선 , 임재용"
저는 주식투자가 처음인데요(기본편 2022년 개정판),강병욱,2022-01-10,432 쪽,"18,500원",-
초등 매일 독서의 힘,이은경,2022-01-10,388 쪽,"17,000원",-
맛있는 디자인 포토샵&일러스트레이터 CC 2022,"빨간고래(박정아) , 윤이사라(포완카)",2022-01-07,544 쪽,"22,000원",-
1학년 한글 떼기,"하유정 , 김희선(그림)",2022-01-05,144 쪽,"12,000원",-
파워포인트 디자인 실무 강의 with 신프로,신프로(신강식),2022-01-05,284 쪽,"18,000원",-
AI로 일하는 기술,장동인,2022-01-03,392 쪽,"18,000원",-
"Case, Fair, Oster의 경제학원론","Karl E. Case , Ray C. Fair , Sharon M. Oster",2022-01-03,800 쪽,"39,000원","박원규 , 이상규"
"IT CookBook, C 언어 for Beginner 4판",우재남,2022-01-03,536 쪽,"26,000원",-
"IT CookBook, 가상현실의 이해",송은지,2022-01-03,288 쪽,"22,000원",-
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,2022-01-03,540 쪽,"25,000원",-
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,2022-01-03,508 쪽,"30,000원",-
"IT CookBook, 엑셀과 파워포인트 2019",김지연,2022-01-03,548 쪽,"23,000원",-
